s1_media,s1_std,s1_rms,s2_media,s2_std,s2_rms,s1_s2_corr,speedSet,load_value,label
2.521700886006527,0.0012159648225886091,2.5217011791757864,2.4307036377682736,0.001063826605384353,2.4307038705665,-0.24729102550160456,8.33203125,0,no_fault
2.5216207618478967,0.001127338027123484,2.521621013846727,2.4306095849759966,0.0010282278690824037,2.430609802463105,-0.20153205056412532,8.33203125,0,no_fault
2.5215822273521256,0.0011118302897121506,2.521582472469362,2.4305759782681995,0.0010345632050108842,2.4305761984466647,-0.24244380310528582,8.33203125,0,no_fault
2.521539882117913,0.0012090701249744477,2.521540171990481,2.4305271943369453,0.001024703265275595,2.430527410342908,-0.2148874965677273,8.33203125,0,no_fault
2.5214302247100377,0.0013083915723884655,2.521430564177768,2.4304978254257663,0.001046104604876806,2.430498050551414,-0.2023078423057677,8.33203125,0,no_fault
2.521362978255312,0.0016437473238813463,2.521363514057773,2.430520164206445,0.0013268609334394538,2.4305205263840217,-0.18225291004035973,8.33203125,80,no_fault
2.5214523336158514,0.001813852097821471,2.521452986029336,2.430572923132499,0.0015020457190370806,2.4305733872496433,-0.08397141727720243,8.33203125,80,no_fault
2.521465178449147,0.0018401703728968257,2.5214658499290823,2.430513593992284,0.0015814075043816026,2.4305141084616206,-0.1046763347505219,8.33203125,80,no_fault
2.5215089034411244,0.001876692377440202,2.5215096018272747,2.4304340285537323,0.0016338725783237092,2.430434577743562,-0.08447813374624556,8.33203125,80,no_fault
2.5215768397911664,0.0019127202902492623,2.5215775652297734,2.4304396132479,0.0016662029446217824,2.4304401843857124,-0.08743154106539629,8.33203125,80,no_fault
2.51755798478359,0.0038322900851971886,2.5175609015860783,2.426993529884898,0.0036013620270778004,2.426996201874162,-0.08986782608527141,25.0,0,no_fault
2.517567183160333,0.004078698818345066,2.517570487098604,2.4269270063592825,0.0036735866062807122,2.426929786671749,-0.09813346061343518,25.0,0,no_fault
2.517569417026819,0.003953994012515101,2.5175725220174705,2.4269756260356394,0.0037298353028885974,2.4269784920848543,-0.11944411723393478,25.0,0,no_fault
2.517663174420786,0.0038815224289391417,2.5176661665222646,2.4269101865730214,0.0036007894759756617,2.4269128578044876,-0.08342107089231908,25.0,0,no_fault
2.517560251519108,0.003838569553044011,2.517563177885546,2.4268385382612543,0.003586358549662819,2.4268411882028187,-0.09166848655972866,25.0,0,no_fault
2.5178706633264114,0.006898377330377062,2.5178801132797357,2.426890870360705,0.005309310232912861,2.426896677943931,-0.09527722266090459,25.0,80,no_fault
2.517857227553222,0.00836348829663861,2.5178711178848068,2.4267896234968545,0.006866365926056268,2.426799337335709,-0.17055962921005918,25.0,80,no_fault
2.517903876416025,0.008773930572276456,2.517919163263295,2.426775201957675,0.007319402484341214,2.4267862399662317,-0.16362587089688016,25.0,80,no_fault
2.5177864661768536,0.008938140901045276,2.517802331325097,2.426872474154138,0.007347227988032001,2.4268835958006174,-0.181522427869579,25.0,80,no_fault
2.5178279244233206,0.008927809129479962,2.5178437526545805,2.426889392569576,0.007688592262318778,2.4269015715965288,-0.16393910595859776,25.0,80,no_fault
2.5223712488316954,0.00594356105246784,2.522378251343511,2.432341037458788,0.006453717058150559,2.432349599249656,-0.09381345425350866,40.0,0,no_fault
2.5224554465413536,0.005941678330110917,2.522462444383963,2.4323493816561887,0.006497672333641906,2.432358060440321,-0.0952402403944111,40.0,0,no_fault
2.5224179633411374,0.006216063690383504,2.522425622537532,2.4324130143071927,0.0065189673451958195,2.4324217498423772,-0.10829238440238714,40.0,0,no_fault
2.52251073517135,0.00596551639788531,2.5225177891227246,2.4324255963044035,0.006578746297245653,2.4324344927376105,-0.07000138198005501,40.0,0,no_fault
2.5223720372687777,0.005980652549551734,2.522379127450979,2.4323003349158654,0.006509314314725839,2.4323090450032616,-0.0982839096785928,40.0,0,no_fault
2.5221247034523477,0.014812556858038419,2.522168200498386,2.431701591748084,0.011780227814281414,2.431730125872837,-0.2830318315521938,40.0,80,no_fault
2.5221959579022646,0.015060733750896707,2.522240923417039,2.4317602311106916,0.012008717936589782,2.4317898821481276,-0.23655884011021283,40.0,80,no_fault
2.5220556174942232,0.015172414159684133,2.5221012548836335,2.4316414087070735,0.0123699353732541,2.431672871880603,-0.2505405177569569,40.0,80,no_fault
2.522082785616204,0.01546675479111175,2.5221302103589656,2.431816570930781,0.012323018381266423,2.4318477936407876,-0.24818212670326129,40.0,80,no_fault
2.521994054345739,0.01529213934901562,2.5220404159491827,2.4317338845199306,0.012054663872678551,2.4317637632063427,-0.21445160960457008,40.0,80,no_fault
2.5212130474845753,0.011636681088182561,2.5212399019437255,2.4302095591108848,0.01201817262040902,2.4302392758053792,-0.2754636539355745,40.0,80,eccentricity
2.5203191638147486,0.006072019387365299,2.520326478238745,2.4285861858212994,0.005868865529268399,2.4285932770936856,-0.22283114279121874,25.0,80,eccentricity
2.520990084428085,0.0056849184632744455,2.52099649426227,2.4300282191226588,0.006234523249708169,2.4300362168108918,-0.24487918712180973,40.0,0,eccentricity
2.520260458816033,0.006762967949335314,2.520269532809355,2.428622519341477,0.006692062243523879,2.4286317393029377,-0.18805060623840808,25.0,80,eccentricity
2.5227047539856366,0.0014370421500990006,2.522705163286402,2.432121131318886,0.0015023448634003758,2.4321215953253543,-0.025676141591324295,8.33203125,80,eccentricity
2.5227228878693,0.0014951831789517468,2.52272333095652,2.43211725488776,0.0015546874902225049,2.432117751790806,-0.029646266409427108,8.33203125,80,eccentricity
